Sigle,Titre,Credit,url,Prerequisites
MAT 2050,Analyse 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2050/,MAT1000
MAT 2100,Analyse 3,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2100/,Préalable : MAT1000
MAT 2412,Analyse numérique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2412/,MAT1400 ET MAT1600
IFT 1015,Programmation 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,
STT 1682,Progiciels statistiques en actuariat,1.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-1682/,
STT 2105,Statistique bayésienne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2105/,Préalable : STT2700 ; Concomitant : MAT2717
STT 2305,Analyse multivariée appliquée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2305/,
STT 3220,Méthodes de prévision,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3220/,Préalables : STT2400 et STT2700
STT 3260,Modèles de survie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3260/,Préalables : STT2400 et STT2700
STT 3510,Biostatistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3510/,STT2700
STT 3795,Fondements théoriques en science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3795/,MAT1400/MAT1600/MAT1720 ou MAT1978
STT 6230,Méthodes non paramétriques avancées,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-6230/,
